Serial,Country,Countrycode
1,AFGHANISTAN,AFG
2,ALBANIA,ALB
3,ALGERIA,DZA
4,AMERICAN SAMOA,ASM
5,ANDORRA,AND
6,ANGOLA,AGO
7,ANGUILLA,AIA
8,BAHAMAS,BHS
9,BAHRAIN,BHR
10,BANGLADESH,BGD
11,BARBADOS,BRB
12,BELARUS,BLR
13,BELGIUM,BEL
14,BELIZE,BLZ
15,BENIN,BEN
16,BERMUDA,BMU
17,BHUTAN,BTN
18,BOLIVIA,BOL
19,BOSNIA AND HERZEGOWINA,BIH
20,CAMBODIA,KHM
21,CAMEROON,CMR
22,CANADA,CAN
23,CAPE VERDE,CPV
24,CAYMAN ISLANDS,CYM
25,CENTRAL AFRICAN REPUBLIC,CAF
26,CHAD,TCD
27,CHILE,CHL
28,CHINA,CHN
29,CHRISTMAS ISLAND,CXR
30,COCOS (KEELING) ISLANDS,CCK
31,COLOMBIA,COL
32,COMOROS,COM
33,HAITI,HTI
34,HEARD AND MC DONALD ISLANDS,HMD
35,HONDURAS,HND
36,HONG KONG,HKG
37,HUNGARY,HUN
38,AFGHANISTAN,AFG
39,ALBANIA,ALB
40,ALGERIA,DZA
41,AMERICAN SAMOA,ASM
42,ANDORRA,AND
43,ANGOLA,AGO
44,ANGUILLA,AIA
45,BAHAMAS,BHS
46,BAHRAIN,BHR
47,BANGLADESH,BGD
48,BARBADOS,BRB
49,BELARUS,BLR
50,BELGIUM,BEL
51,BELIZE,BLZ
52,BENIN,BEN
53,BERMUDA,BMU
54,BHUTAN,BTN
55,BOLIVIA,BOL
56,BOSNIA AND HERZEGOWINA,BIH
57,CAMBODIA,KHM
58,CAMEROON,CMR
59,CANADA,CAN
60,CAPE VERDE,CPV
61,CAYMAN ISLANDS,CYM
62,CENTRAL AFRICAN REPUBLIC,CAF
63,CHAD,TCD
64,CHILE,CHL
65,CHINA,CHN
66,CHRISTMAS ISLAND,CXR
67,COCOS (KEELING) ISLANDS,CCK
68,COLOMBIA,COL
69,COMOROS,COM
70,HAITI,HTI
71,HEARD AND MC DONALD ISLANDS,HMD
72,HONDURAS,HND
73,HONG KONG,HKG
74,HUNGARY,HUN
75,AFGHANISTAN,AFG
76,ALBANIA,ALB
77,ALGERIA,DZA
78,AMERICAN SAMOA,ASM
79,ANDORRA,AND
80,ANGOLA,AGO
81,ANGUILLA,AIA
82,BAHAMAS,BHS
83,BAHRAIN,BHR
84,BANGLADESH,BGD
85,BARBADOS,BRB
86,BELARUS,BLR
87,BELGIUM,BEL
88,BELIZE,BLZ
89,BENIN,BEN
90,BERMUDA,BMU
91,BHUTAN,BTN
92,BOLIVIA,BOL
93,BOSNIA AND HERZEGOWINA,BIH
94,CAMBODIA,KHM
95,CAMEROON,CMR
96,CANADA,CAN
97,CAPE VERDE,CPV
98,CAYMAN ISLANDS,CYM
99,CENTRAL AFRICAN REPUBLIC,CAF
100,CHAD,TCD
101,CHILE,CHL
102,CHINA,CHN
103,CHRISTMAS ISLAND,CXR
104,COCOS (KEELING) ISLANDS,CCK
105,COLOMBIA,COL
106,COMOROS,COM
107,HAITI,HTI
108,HEARD AND MC DONALD ISLANDS,HMD
109,HONDURAS,HND
110,HONG KONG,HKG
111,HUNGARY,HUN
112,AFGHANISTAN,AFG
113,ALBANIA,ALB
114,ALGERIA,DZA
115,AMERICAN SAMOA,ASM
116,ANDORRA,AND
117,ANGOLA,AGO
118,ANGUILLA,AIA
119,BAHAMAS,BHS
120,BAHRAIN,BHR
121,BANGLADESH,BGD
122,BARBADOS,BRB
123,BELARUS,BLR
124,BELGIUM,BEL
125,BELIZE,BLZ
126,CHAD,TCD
127,CHILE,CHL
128,CHINA,CHN
129,CHRISTMAS ISLAND,CXR
130,COCOS (KEELING) ISLANDS,CCK
131,COLOMBIA,COL
132,COMOROS,COM
133,HAITI,HTI
134,HEARD AND MC DONALD ISLANDS,HMD
135,HONDURAS,HND
136,HONG KONG,HKG
137,HUNGARY,HUN
138,PAKISTAN,PAK
139,PALAU,PLW
140,PANAMA,PAN
141,PAPUA NEW GUINEA,PNG
142,PARAGUAY,PRY
143,PERU,PER
144,PHILIPPINES,PHL
145,PITCAIRN,PCN
146,POLAND,POL
147,PORTUGAL,PRT
148,PUERTO RICO,PRI